Calculator Type,JID,Surface,Surface Energy (J/m^2)
matgl,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 0, 0]",1.995662579
alignn_ff,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 0]",-0.373158742
chgnet,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 0]",2.091129793
mace,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 0]",2.727261922
sevennet,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 0]",2.676539238
matgl,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 0]",1.776873223
alignn_ff,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 1]",0.382198994
chgnet,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 1]",2.722335316
mace,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 1]",3.178589837
sevennet,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 1]",3.212998813
matgl,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 1, 1]",2.45700066
alignn_ff,JVASP-1702,"surface_energy for JVASP-1702 with indices [0, 1, 1]",0.377735714
chgnet,JVASP-1702,"surface_energy for JVASP-1702 with indices [0, 1, 1]",0.415118576
mace,JVASP-1702,"surface_energy for JVASP-1702 with indices [0, 1, 1]",0.501409496
sevennet,JVASP-1702,"surface_energy for JVASP-1702 with indices [0, 1, 1]",0.481355212
matgl,JVASP-1702,"surface_energy for JVASP-1702 with indices [0, 1, 1]",0.521686104
alignn_ff,JVASP-1702,"surface_energy for JVASP-1702 with indices [1, 1, 0]",0.377735522
chgnet,JVASP-1702,"surface_energy for JVASP-1702 with indices [1, 1, 0]",0.415117044
mace,JVASP-1702,"surface_energy for JVASP-1702 with indices [1, 1, 0]",0.501411033
sevennet,JVASP-1702,"surface_energy for JVASP-1702 with indices [1, 1, 0]",0.48135655
matgl,JVASP-1702,"surface_energy for JVASP-1702 with indices [1, 1, 0]",0.520997847
alignn_ff,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 0, 1]",19.31535698
chgnet,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 0, 1]",2.331884126
mace,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 0, 1]",2.539376948
sevennet,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 0, 1]",3.55680416
matgl,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 0, 1]",1.798226746
alignn_ff,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 0]",19.31535698
chgnet,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 0]",2.331884126
mace,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 0]",2.539376948
sevennet,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 0]",3.55680416
matgl,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 0]",1.798226746
alignn_ff,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 1]",12.15764121
chgnet,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 1]",1.925416465
mace,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 1]",2.31087835
sevennet,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 1]",2.417273331
matgl,JVASP-21195,"surface_energy for JVASP-21195 with indices [0, 1, 1]",1.39101296
alignn_ff,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 0, 0]",19.31535698
chgnet,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 0, 0]",2.331884126
mace,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 0, 0]",2.539376948
sevennet,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 0, 0]",3.55680416
matgl,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 0, 0]",1.798226746
JARVIS,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 0, 0]",3.3
alignn_ff,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 0]",12.15760526
chgnet,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 0]",1.925422784
mace,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 0]",2.31087835
sevennet,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 0]",2.417273331
matgl,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 0]",1.392214334
alignn_ff,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 1]",11.13250044
chgnet,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 1]",2.46811926
mace,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 1]",2.795337526
sevennet,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 1]",3.000821666
matgl,JVASP-21195,"surface_energy for JVASP-21195 with indices [1, 1, 1]",1.805716038
alignn_ff,JVASP-23,"surface_energy for JVASP-23 with indices [0, 1, 1]",0.083613186
chgnet,JVASP-23,"surface_energy for JVASP-23 with indices [0, 1, 1]",0.074934973
mace,JVASP-23,"surface_energy for JVASP-23 with indices [0, 1, 1]",0.271405069
sevennet,JVASP-23,"surface_energy for JVASP-23 with indices [0, 1, 1]",0.168000423
matgl,JVASP-23,"surface_energy for JVASP-23 with indices [0, 1, 1]",0.088817913
alignn_ff,JVASP-23,"surface_energy for JVASP-23 with indices [1, 1, 0]",0.083612271
chgnet,JVASP-23,"surface_energy for JVASP-23 with indices [1, 1, 0]",0.074933861
mace,JVASP-23,"surface_energy for JVASP-23 with indices [1, 1, 0]",0.271405069
sevennet,JVASP-23,"surface_energy for JVASP-23 with indices [1, 1, 0]",0.168001466
matgl,JVASP-23,"surface_energy for JVASP-23 with indices [1, 1, 0]",0.088593766
alignn_ff,JVASP-30,"surface_energy for JVASP-30 with indices [0, 1, 0]",0.120420368
sevennet,JVASP-30,"surface_energy for JVASP-30 with indices [0, 1, 0]",1.467030435
mace,JVASP-30,"surface_energy for JVASP-30 with indices [0, 1, 0]",1.526640075
chgnet,JVASP-30,"surface_energy for JVASP-30 with indices [0, 1, 0]",0.993808344
matgl,JVASP-30,"surface_energy for JVASP-30 with indices [0, 1, 0]",1.27876767
alignn_ff,JVASP-30,"surface_energy for JVASP-30 with indices [1, 0, 0]",0.120420368
sevennet,JVASP-30,"surface_energy for JVASP-30 with indices [1, 0, 0]",1.467026674
mace,JVASP-30,"surface_energy for JVASP-30 with indices [1, 0, 0]",1.526640075
chgnet,JVASP-30,"surface_energy for JVASP-30 with indices [1, 0, 0]",0.993811669
matgl,JVASP-30,"surface_energy for JVASP-30 with indices [1, 0, 0]",1.287779531
JARVIS,JVASP-30,"surface_energy for JVASP-30 with indices [1, 0, 0]",1.67
alignn_ff,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 0]",0.017174068
sevennet,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 0]",1.485578579
mace,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 0]",1.626192429
chgnet,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 0]",1.021846756
matgl,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 0]",1.376509033
alignn_ff,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 1]",0.35131618
sevennet,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 1]",2.128664412
mace,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 1]",2.06541314
chgnet,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 1]",1.506232922
matgl,JVASP-30,"surface_energy for JVASP-30 with indices [1, 1, 1]",2.058325171
alignn_ff,JVASP-32,"surface_energy for JVASP-32 with indices [0, 0, 1]",1.15786533
chgnet,JVASP-32,"surface_energy for JVASP-32 with indices [0, 0, 1]",1.044388268
mace,JVASP-32,"surface_energy for JVASP-32 with indices [0, 0, 1]",1.498610187
sevennet,JVASP-32,"surface_energy for JVASP-32 with indices [0, 0, 1]",1.480540074
matgl,JVASP-32,"surface_energy for JVASP-32 with indices [0, 0, 1]",2.384872988
alignn_ff,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 0]",0.376436496
chgnet,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 0]",1.635394481
mace,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 0]",2.026558937
sevennet,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 0]",1.989013732
matgl,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 0]",2.410850364
alignn_ff,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 1]",0.422796682
chgnet,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 1]",1.649913272
mace,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 1]",2.059965608
sevennet,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 1]",2.026194905
matgl,JVASP-32,"surface_energy for JVASP-32 with indices [0, 1, 1]",2.527312244
alignn_ff,JVASP-32,"surface_energy for JVASP-32 with indices [1, 0, 0]",0.376451129
chgnet,JVASP-32,"surface_energy for JVASP-32 with indices [1, 0, 0]",1.635395725
mace,JVASP-32,"surface_energy for JVASP-32 with indices [1, 0, 0]",2.026556247
sevennet,JVASP-32,"surface_energy for JVASP-32 with indices [1, 0, 0]",1.98897822
matgl,JVASP-32,"surface_energy for JVASP-32 with indices [1, 0, 0]",2.410991286
alignn_ff,JVASP-32,"surface_energy for JVASP-32 with indices [1, 1, 1]",0.415247531
chgnet,JVASP-32,"surface_energy for JVASP-32 with indices [1, 1, 1]",2.345037267
mace,JVASP-32,"surface_energy for JVASP-32 with indices [1, 1, 1]",2.82366863
sevennet,JVASP-32,"surface_energy for JVASP-32 with indices [1, 1, 1]",2.866036108
matgl,JVASP-32,"surface_energy for JVASP-32 with indices [1, 1, 1]",3.233537112
chgnet,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 0]",4.210604645
alignn_ff,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 0]",0.232185182
mace,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 0]",4.117958394
sevennet,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 0]",4.087718808
matgl,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 0]",4.64475917
chgnet,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 1]",2.324246369
alignn_ff,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 1]",0.163562582
mace,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 1]",2.34666231
sevennet,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 1]",2.482147048
matgl,JVASP-34674,"surface_energy for JVASP-34674 with indices [1, 1, 1]",3.204166171
alignn_ff,JVASP-39,"surface_energy for JVASP-39 with indices [0, 1, 0]",0.142374362
mace,JVASP-39,"surface_energy for JVASP-39 with indices [0, 1, 0]",1.90935845
chgnet,JVASP-39,"surface_energy for JVASP-39 with indices [0, 1, 0]",1.521738282
sevennet,JVASP-39,"surface_energy for JVASP-39 with indices [0, 1, 0]",2.015956102
matgl,JVASP-39,"surface_energy for JVASP-39 with indices [0, 1, 0]",1.672141308
alignn_ff,JVASP-39,"surface_energy for JVASP-39 with indices [1, 0, 0]",0.142374362
mace,JVASP-39,"surface_energy for JVASP-39 with indices [1, 0, 0]",1.90935845
chgnet,JVASP-39,"surface_energy for JVASP-39 with indices [1, 0, 0]",1.521726746
sevennet,JVASP-39,"surface_energy for JVASP-39 with indices [1, 0, 0]",2.01595211
matgl,JVASP-39,"surface_energy for JVASP-39 with indices [1, 0, 0]",1.673961273
JARVIS,JVASP-39,"surface_energy for JVASP-39 with indices [1, 0, 0]",2.27
alignn_ff,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 0]",-0.00923555
mace,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 0]",2.038182988
chgnet,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 0]",1.617382533
sevennet,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 0]",2.108671904
matgl,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 0]",1.821842429
alignn_ff,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 1]",0.371537268
mace,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 1]",2.487180431
chgnet,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 1]",2.136456341
sevennet,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 1]",2.466226826
matgl,JVASP-39,"surface_energy for JVASP-39 with indices [1, 1, 1]",2.708903119
chgnet,JVASP-41,"surface_energy for JVASP-41 with indices [0, 1, 1]",1.762285816
alignn_ff,JVASP-41,"surface_energy for JVASP-41 with indices [0, 1, 1]",0.1558982
mace,JVASP-41,"surface_energy for JVASP-41 with indices [0, 1, 1]",2.162778482
sevennet,JVASP-41,"surface_energy for JVASP-41 with indices [0, 1, 1]",3.242305029
matgl,JVASP-41,"surface_energy for JVASP-41 with indices [0, 1, 1]",3.258358766
alignn_ff,JVASP-7630,"surface_energy for JVASP-7630 with indices [0, 1, 1]",1.027812536
chgnet,JVASP-7630,"surface_energy for JVASP-7630 with indices [0, 1, 1]",0.548279034
mace,JVASP-7630,"surface_energy for JVASP-7630 with indices [0, 1, 1]",0.699339837
sevennet,JVASP-7630,"surface_energy for JVASP-7630 with indices [0, 1, 1]",0.969365625
matgl,JVASP-7630,"surface_energy for JVASP-7630 with indices [0, 1, 1]",0.46022967
alignn_ff,JVASP-7630,"surface_energy for JVASP-7630 with indices [1, 1, 0]",1.027819941
chgnet,JVASP-7630,"surface_energy for JVASP-7630 with indices [1, 1, 0]",0.548279034
mace,JVASP-7630,"surface_energy for JVASP-7630 with indices [1, 1, 0]",0.699339837
sevennet,JVASP-7630,"surface_energy for JVASP-7630 with indices [1, 1, 0]",0.969365625
matgl,JVASP-7630,"surface_energy for JVASP-7630 with indices [1, 1, 0]",0.462336182
alignn_ff,JVASP-7762,"surface_energy for JVASP-7762 with indices [0, 1, 1]",0.069759312
chgnet,JVASP-7762,"surface_energy for JVASP-7762 with indices [0, 1, 1]",0.22612225
mace,JVASP-7762,"surface_energy for JVASP-7762 with indices [0, 1, 1]",0.41898607
sevennet,JVASP-7762,"surface_energy for JVASP-7762 with indices [0, 1, 1]",0.303799882
matgl,JVASP-7762,"surface_energy for JVASP-7762 with indices [0, 1, 1]",0.201228135
alignn_ff,JVASP-7762,"surface_energy for JVASP-7762 with indices [1, 1, 0]",0.06975877
chgnet,JVASP-7762,"surface_energy for JVASP-7762 with indices [1, 1, 0]",0.22612225
mace,JVASP-7762,"surface_energy for JVASP-7762 with indices [1, 1, 0]",0.41898607
sevennet,JVASP-7762,"surface_energy for JVASP-7762 with indices [1, 1, 0]",0.304074827
matgl,JVASP-7762,"surface_energy for JVASP-7762 with indices [1, 1, 0]",0.201159884
alignn_ff,JVASP-7844,"surface_energy for JVASP-7844 with indices [0, 1, 1]",2.10793002
chgnet,JVASP-7844,"surface_energy for JVASP-7844 with indices [0, 1, 1]",1.618644909
sevennet,JVASP-7844,"surface_energy for JVASP-7844 with indices [0, 1, 1]",2.138554899
mace,JVASP-7844,"surface_energy for JVASP-7844 with indices [0, 1, 1]",2.071934773
matgl,JVASP-7844,"surface_energy for JVASP-7844 with indices [0, 1, 1]",1.913257906
alignn_ff,JVASP-7844,"surface_energy for JVASP-7844 with indices [1, 1, 0]",2.10793002
chgnet,JVASP-7844,"surface_energy for JVASP-7844 with indices [1, 1, 0]",1.618651829
sevennet,JVASP-7844,"surface_energy for JVASP-7844 with indices [1, 1, 0]",2.138546195
mace,JVASP-7844,"surface_energy for JVASP-7844 with indices [1, 1, 0]",2.071939152
matgl,JVASP-7844,"surface_energy for JVASP-7844 with indices [1, 1, 0]",1.903438229
mace,JVASP-79204,"surface_energy for JVASP-79204 with indices [0, 1, 0]",2.163759436
sevennet,JVASP-79204,"surface_energy for JVASP-79204 with indices [0, 1, 0]",2.018759443
matgl,JVASP-79204,"surface_energy for JVASP-79204 with indices [0, 1, 0]",0.772109005
mace,JVASP-79204,"surface_energy for JVASP-79204 with indices [1, 0, 0]",2.163759436
sevennet,JVASP-79204,"surface_energy for JVASP-79204 with indices [1, 0, 0]",2.018759443
matgl,JVASP-79204,"surface_energy for JVASP-79204 with indices [1, 0, 0]",0.763743936
mace,JVASP-79204,"surface_energy for JVASP-79204 with indices [1, 1, 0]",-0.483852864
sevennet,JVASP-79204,"surface_energy for JVASP-79204 with indices [1, 1, 0]",-0.57001103
matgl,JVASP-79204,"surface_energy for JVASP-79204 with indices [1, 1, 0]",0.81253147
JARVIS,JVASP-79204,"surface_energy for JVASP-79204 with indices [1, 1, 0]",2.41
alignn_ff,JVASP-8003,"surface_energy for JVASP-8003 with indices [0, 1, 1]",0.330440105
chgnet,JVASP-8003,"surface_energy for JVASP-8003 with indices [0, 1, 1]",0.233306041
mace,JVASP-8003,"surface_energy for JVASP-8003 with indices [0, 1, 1]",0.363545678
sevennet,JVASP-8003,"surface_energy for JVASP-8003 with indices [0, 1, 1]",0.37160813
matgl,JVASP-8003,"surface_energy for JVASP-8003 with indices [0, 1, 1]",0.404285353
alignn_ff,JVASP-8003,"surface_energy for JVASP-8003 with indices [1, 1, 0]",0.330439781
chgnet,JVASP-8003,"surface_energy for JVASP-8003 with indices [1, 1, 0]",0.233301143
mace,JVASP-8003,"surface_energy for JVASP-8003 with indices [1, 1, 0]",0.363545063
sevennet,JVASP-8003,"surface_energy for JVASP-8003 with indices [1, 1, 0]",0.37160813
matgl,JVASP-8003,"surface_energy for JVASP-8003 with indices [1, 1, 0]",0.40430136
sevennet,JVASP-802,"surface_energy for JVASP-802 with indices [0, 0, 1]",1.413042868
alignn_ff,JVASP-802,"surface_energy for JVASP-802 with indices [0, 0, 1]",-0.267189996
chgnet,JVASP-802,"surface_energy for JVASP-802 with indices [0, 0, 1]",1.067946718
mace,JVASP-802,"surface_energy for JVASP-802 with indices [0, 0, 1]",1.503203306
matgl,JVASP-802,"surface_energy for JVASP-802 with indices [0, 0, 1]",0.441033202
sevennet,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 0]",1.433815264
alignn_ff,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 0]",-0.157820277
chgnet,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 0]",1.054614018
mace,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 0]",1.637793066
matgl,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 0]",0.585270911
sevennet,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 1]",1.516904643
alignn_ff,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 1]",-0.14481527
chgnet,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 1]",1.217179963
mace,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 1]",1.646159661
matgl,JVASP-802,"surface_energy for JVASP-802 with indices [0, 1, 1]",0.621235243
sevennet,JVASP-802,"surface_energy for JVASP-802 with indices [1, 0, 0]",1.433815264
alignn_ff,JVASP-802,"surface_energy for JVASP-802 with indices [1, 0, 0]",-0.157820277
chgnet,JVASP-802,"surface_energy for JVASP-802 with indices [1, 0, 0]",1.054614018
mace,JVASP-802,"surface_energy for JVASP-802 with indices [1, 0, 0]",1.637793066
matgl,JVASP-802,"surface_energy for JVASP-802 with indices [1, 0, 0]",0.586136168
sevennet,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 0]",1.414975279
alignn_ff,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 0]",-0.034503587
chgnet,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 0]",1.047827767
mace,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 0]",1.482912527
matgl,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 0]",1.106868066
sevennet,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 1]",1.650542028
alignn_ff,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 1]",-0.057231522
chgnet,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 1]",1.215230506
mace,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 1]",1.776350271
matgl,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 1]",1.154498093
JARVIS,JVASP-802,"surface_energy for JVASP-802 with indices [1, 1, 1]",2.02
alignn_ff,JVASP-810,"surface_energy for JVASP-810 with indices [0, 0, 1]",0.054529644
chgnet,JVASP-810,"surface_energy for JVASP-810 with indices [0, 0, 1]",0.264752937
mace,JVASP-810,"surface_energy for JVASP-810 with indices [0, 0, 1]",0.490954035
sevennet,JVASP-810,"surface_energy for JVASP-810 with indices [0, 0, 1]",0.16665128
matgl,JVASP-810,"surface_energy for JVASP-810 with indices [0, 0, 1]",0.106927988
alignn_ff,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 0]",0.010699274
chgnet,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 0]",0.268166316
mace,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 0]",0.489172406
sevennet,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 0]",0.281930388
matgl,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 0]",0.240981298
alignn_ff,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 1]",0.009902643
chgnet,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 1]",0.416176542
mace,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 1]",0.638793556
sevennet,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 1]",0.298901383
matgl,JVASP-810,"surface_energy for JVASP-810 with indices [1, 1, 1]",0.252685641
chgnet,JVASP-8118,"surface_energy for JVASP-8118 with indices [0, 1, 0]",2.006158716
mace,JVASP-8118,"surface_energy for JVASP-8118 with indices [0, 1, 0]",2.406899258
sevennet,JVASP-8118,"surface_energy for JVASP-8118 with indices [0, 1, 0]",2.416268593
matgl,JVASP-8118,"surface_energy for JVASP-8118 with indices [0, 1, 0]",1.273394748
chgnet,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 0, 0]",2.006169153
mace,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 0, 0]",2.406902812
sevennet,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 0, 0]",2.416268593
matgl,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 0, 0]",1.269520222
chgnet,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 0]",2.238864195
mace,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 0]",2.652490112
sevennet,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 0]",2.502868206
matgl,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 0]",1.347895101
chgnet,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 1]",2.965348907
mace,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 1]",3.237625253
sevennet,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 1]",3.315630086
matgl,JVASP-8118,"surface_energy for JVASP-8118 with indices [1, 1, 1]",2.173380955
alignn_ff,JVASP-8158,"surface_energy for JVASP-8158 with indices [0, 1, 1]",1.070373585
sevennet,JVASP-8158,"surface_energy for JVASP-8158 with indices [0, 1, 1]",2.372900818
chgnet,JVASP-8158,"surface_energy for JVASP-8158 with indices [0, 1, 1]",2.194944821
mace,JVASP-8158,"surface_energy for JVASP-8158 with indices [0, 1, 1]",2.627061065
matgl,JVASP-8158,"surface_energy for JVASP-8158 with indices [0, 1, 1]",1.32855829
alignn_ff,JVASP-8158,"surface_energy for JVASP-8158 with indices [1, 1, 0]",1.070378179
sevennet,JVASP-8158,"surface_energy for JVASP-8158 with indices [1, 1, 0]",2.372900818
chgnet,JVASP-8158,"surface_energy for JVASP-8158 with indices [1, 1, 0]",2.194948338
mace,JVASP-8158,"surface_energy for JVASP-8158 with indices [1, 1, 0]",2.627056661
matgl,JVASP-8158,"surface_energy for JVASP-8158 with indices [1, 1, 0]",1.315155906
sevennet,JVASP-816,"surface_energy for JVASP-816 with indices [0, 0, 1]",0.724027858
chgnet,JVASP-816,"surface_energy for JVASP-816 with indices [0, 0, 1]",0.487183021
mace,JVASP-816,"surface_energy for JVASP-816 with indices [0, 0, 1]",0.842208229
alignn_ff,JVASP-816,"surface_energy for JVASP-816 with indices [0, 0, 1]",1.302033863
matgl,JVASP-816,"surface_energy for JVASP-816 with indices [0, 0, 1]",0.420572732
sevennet,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 0]",0.724027858
chgnet,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 0]",0.487184522
mace,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 0]",0.842208229
alignn_ff,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 0]",1.302033863
matgl,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 0]",0.421222812
sevennet,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 1]",0.710978136
chgnet,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 1]",0.527981733
mace,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 1]",0.844518985
alignn_ff,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 1]",0.951061464
matgl,JVASP-816,"surface_energy for JVASP-816 with indices [0, 1, 1]",0.499019167
sevennet,JVASP-816,"surface_energy for JVASP-816 with indices [1, 0, 0]",0.724027858
chgnet,JVASP-816,"surface_energy for JVASP-816 with indices [1, 0, 0]",0.487183021
mace,JVASP-816,"surface_energy for JVASP-816 with indices [1, 0, 0]",0.842208229
alignn_ff,JVASP-816,"surface_energy for JVASP-816 with indices [1, 0, 0]",1.302033863
matgl,JVASP-816,"surface_energy for JVASP-816 with indices [1, 0, 0]",0.421329533
sevennet,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 0]",0.710976744
chgnet,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 0]",0.527985384
mace,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 0]",0.844518985
alignn_ff,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 0]",0.951061464
matgl,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 0]",0.497399632
sevennet,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 1]",0.581057802
chgnet,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 1]",0.371536804
mace,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 1]",0.641697307
alignn_ff,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 1]",0.541374012
matgl,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 1]",0.276373441
JARVIS,JVASP-816,"surface_energy for JVASP-816 with indices [1, 1, 1]",0.82
sevennet,JVASP-8169,"surface_energy for JVASP-8169 with indices [0, 1, 1]",1.571424672
chgnet,JVASP-8169,"surface_energy for JVASP-8169 with indices [0, 1, 1]",1.053839589
mace,JVASP-8169,"surface_energy for JVASP-8169 with indices [0, 1, 1]",1.637544816
matgl,JVASP-8169,"surface_energy for JVASP-8169 with indices [0, 1, 1]",1.413011814
sevennet,JVASP-8169,"surface_energy for JVASP-8169 with indices [1, 1, 0]",1.571429041
chgnet,JVASP-8169,"surface_energy for JVASP-8169 with indices [1, 1, 0]",1.053835489
mace,JVASP-8169,"surface_energy for JVASP-8169 with indices [1, 1, 0]",1.637548946
matgl,JVASP-8169,"surface_energy for JVASP-8169 with indices [1, 1, 0]",1.41254027
