Calculator Type,JID,Formation Energy (eV/atom),Volume (Angstrom^3),Bulk Modulus (GPa),a (Angstrom),b (Angstrom),c (Angstrom),C11 (GPa),C12 (GPa),C44 (GPa)
matgl,JVASP-810,0.002107871,183.0584158,38.16524681,4.00792,4.00792,13.08962,7339.846925,3436.162108,1578.146746
sevennet,JVASP-810,0.003826824,183.1620766,31.3200394,4.015907,4.015907,12.98499,30.74819771,27.81835456,1.896263401
chgnet,JVASP-810,0.000356812,182.0033179,28.5959852,4.006755,4.006755,13.06151,33.87793837,20.69585491,4.0283752
alignn_ff,JVASP-810,-0.005566421,184.1968813,7.728602552,4.001844,4.001844,12.93669,-0.044220904,0.002738527,-0.034793766
JARVIS,JVASP-810,-0.01134,179.421242,26.59,4.001844,4.001844,12.93669,50.5,18.2,16.1
chgnet,JVASP-8118,-0.275158474,41.82587653,300.8900348,3.095888,3.095888,5.06554,334.6759459,153.0504109,52.81117227
mace,JVASP-8118,-0.251237124,42.07170169,317.514458,3.096663,3.096663,5.06547,431.3291823,117.5843387,113.5000992
sevennet,JVASP-8118,-0.211110892,41.93514814,342.0878189,3.092689,3.092689,5.07034,460.2758264,114.3154098,125.8760168
matgl,JVASP-8118,-0.233962091,42.10439549,295.9434953,3.099853,3.099862,5.07241,51877.52734,26200.69775,8996.890281
alignn_ff,JVASP-8118,0.139691928,41.7049256,54.72281806,2.846291,2.846278,4.89354,13.49540908,9.00953486,2.058278358
JARVIS,JVASP-8118,-0.23851,42.25484563,213.53,3.097219,3.097219,5.0863,497.4,100.6,198.4
chgnet,JVASP-8158,-0.27951187,83.41629008,389.7535986,4.37765,4.37765,4.37765,248.5756586,192.324439,108.1978011
mace,JVASP-8158,-0.266211421,83.77046698,406.8423943,4.37557,4.37557,4.37557,316.2859944,164.3541487,201.045838
sevennet,JVASP-8158,-0.219368779,83.5485089,446.8011191,4.37832,4.37832,4.37832,303.8476412,157.4074936,207.5885167
alignn_ff,JVASP-8158,0.122912265,75.34781042,193.2097347,4.04765,4.04765,4.04765,3.039630368,11.30625423,4.339158101
matgl,JVASP-8158,-0.240729241,84.42228656,355.5393579,4.38882,4.38884,4.38883,42498.79391,29413.15228,0.091505584
JARVIS,JVASP-8158,-0.24417,84.47796446,212.77,4.38781,4.38781,4.38781,386.1,126.1,242.7
chgnet,JVASP-816,-0.001013751,66.78114325,64.62522354,4.04148,4.04148,4.04148,61.54988543,47.23045167,10.22712031
alignn_ff,JVASP-816,0.006637639,47.81068033,159.8135462,3.72845,3.72845,3.72845,4.425802484,2.210203364,1.476175623
mace,JVASP-816,-0.001192908,66.71867873,87.44009558,4.06193,4.06193,4.06193,84.94942385,52.80682354,25.30695132
sevennet,JVASP-816,0.000168469,65.91967298,95.83429969,4.03866,4.03866,4.03866,106.8424967,67.31937927,23.70474371
matgl,JVASP-816,-0.001583658,65.56749911,78.364888,4.05256,4.05256,4.05256,10630.61216,7217.618733,3091.127326
JARVIS,JVASP-816,0,67.29051562,69.93,4.06741,4.06741,4.06741,93.4,58.2,16.2
chgnet,JVASP-8169,-0.585669958,93.37381582,299.0687786,4.53522,4.53522,4.53522,257.138081,175.6454221,126.2041496
mace,JVASP-8169,-0.471484561,93.19196333,324.237146,4.53303,4.53303,4.53303,263.8171226,159.0215255,152.1266119
sevennet,JVASP-8169,-0.472958662,93.88685035,337.8315864,4.54589,4.54589,4.54589,249.4425314,151.1715621,147.3453756
alignn_ff,JVASP-8169,0.154411808,81.67554862,73.33928857,4.35951,4.35951,4.35951,5.889918476,6.367517028,5.768590035
matgl,JVASP-8169,-0.472452825,93.8117124,303.7239045,4.54102,4.54102,4.54104,30484.53832,23204.7763,-0.055419138
JARVIS,JVASP-8169,-0.56774,93.61067726,178.67,4.54055,4.54055,4.54055,261.4,137.3,148.9
mace,JVASP-819,-0.001403913,186.1570134,0.300768254,5.21511,5.21511,5.21511,0.023575662,0.014151665,0.014478005
matgl,JVASP-819,0.000725155,183.9797344,2.385732643,5.67048,5.67048,5.67048,732.8835013,633.826223,103.8176198
sevennet,JVASP-819,-2.74E-06,184.6025425,4.397979817,5.71538,5.71538,5.71538,4.351354918,2.946838194,1.381307657
chgnet,JVASP-819,-0.000784681,184.6145701,2.903235775,5.68421,5.68421,5.68421,6.587820058,6.248818175,1.860202597
alignn_ff,JVASP-819,-0.001415558,125.9587303,9.05E-09,5.19464,5.19464,5.19464,0.282039817,4.280094551,-2.813764708
JARVIS,JVASP-819,0,141.8372883,4.63,5.21511,5.21511,5.21511,6.5,3.7,3.9
mace,JVASP-825,0.000422277,72.89369376,165.0703156,4.17536,4.17536,4.17536,149.6549231,127.4405402,20.96629956
matgl,JVASP-825,8.21E-05,72.46994328,153.1765543,4.172,4.172,4.172,24353.06579,22185.05806,2876.549957
chgnet,JVASP-825,-0.001552195,72.79767746,144.5843575,4.1729,4.1729,4.1729,112.2931385,100.6825272,8.987452652
sevennet,JVASP-825,-0.001015954,72.68674945,166.806646,4.17042,4.17042,4.17042,144.2049557,130.6807016,9.070286079
JARVIS,JVASP-825,0,71.62279808,148.6,4.15289,4.15289,4.15289,167,139.4,28.4
mace,JVASP-828,0.010171084,255.5274922,706.3463691,4.876475,4.876475,12.55409,361.8734861,193.7991365,134.5026155
matgl,JVASP-828,-0.016284729,261.7998139,561.2403966,4.919332,4.919351,12.38414,16355.58831,6575.290596,6122.796
chgnet,JVASP-828,-0.001394905,265.8421321,765.5737885,4.914454,4.914462,12.58207,361.8125943,205.3020558,152.9297367
sevennet,JVASP-828,0.002633163,261.8524544,834.553184,4.892792,4.892792,12.5205,393.9268548,185.5062176,149.6160122
alignn_ff,JVASP-828,-0.096132844,200.700032,1355.598933,4.4183,4.4183,11.5189,3.657177061,1.123748787,0.762530902
JARVIS,JVASP-828,0,261.563798,210.26,4.90996,4.90996,12.52827,443.9,111.3,166.3
mace,JVASP-837,0.00099578,214.8346054,55.59939571,4.6529,4.6529,11.47543,60.67649148,31.72211466,31.03430683
matgl,JVASP-837,0.002037127,217.6100087,49.30901615,4.673353,4.673353,11.50488,10511.59842,8541.73807,1199.401164
sevennet,JVASP-837,-0.000536924,216.5939357,48.45242742,4.608538,4.608538,11.74137,65.48259335,30.36955775,35.00156693
chgnet,JVASP-837,-0.001526768,212.9454037,59.79241198,4.6364,4.6364,11.39034,58.16075624,49.6985269,8.569534315
alignn_ff,JVASP-837,0.004999811,207.8023113,60.20515048,4.521716,4.521716,11.92436,4.105000921,1.647224536,1.301108695
JARVIS,JVASP-837,0,220.0479201,34.48,4.583789,4.583789,12.09311,66.6,26.8,19.9
mace,JVASP-840,0.257602897,282.5201136,121.0353509,3.80926,7.67153,9.784333,26.96831149,2.596307227,-0.430394741
matgl,JVASP-840,0.000905872,356.2940512,77.02274398,5,9.39394,7.56536,8671.891445,0.158215804,0.119539665
chgnet,JVASP-840,-0.003755694,271.8884734,95.23981542,4.5751,7.2618,8.10406,49.18442433,-0.895772233,2.078485385
sevennet,JVASP-840,0.00040158,287.9469553,87.7867927,5.46501,7.60474,6.94294,71.28417448,2.293153558,2.870593752
alignn_ff,JVASP-840,-0.020678966,256.8653991,145.209884,4.21482,6.80804,8.58924,1.307041396,-0.034496969,0.137946333
JARVIS,JVASP-840,3.00E-05,247.1094174,17.2,4.19857,6.81987,8.63002,26.8,5.3,6.1
mace,JVASP-858,-0.001692606,21.48887524,206.0948055,2.487918,2.487918,4.02168,269.9679309,104.2999121,56.95140012
matgl,JVASP-858,-0.002908235,21.76784002,216.8786381,2.483738,2.483738,4.08328,39562.22688,23157.0979,4391.233234
sevennet,JVASP-858,-0.007311098,21.27885322,197.1331689,2.488563,2.488563,4.01958,167.0569424,56.41942443,67.46588768
chgnet,JVASP-858,-0.005616165,21.30262459,183.4588211,2.495906,2.495906,4.04217,187.8325523,87.79202442,19.5834842
alignn_ff,JVASP-858,0.000287524,17.15726279,238.0633986,2.28183,2.28183,3.60082,46.02092723,-7.340636176,20.24247534
JARVIS,JVASP-858,0,21.55810477,215.48,2.487918,2.487918,4.02168,372,136.1,117.9
chgnet,JVASP-861,-0.001123092,23.46158287,248.2857761,2.85791,2.85791,2.85791,263.24051,162.1498881,2.711700112
mace,JVASP-861,0.000143469,23.59685677,248.5100601,2.86762,2.86762,2.86762,254.5875343,214.2699443,37.14383607
sevennet,JVASP-861,0.002053387,23.31581975,225.9463368,2.85578,2.85578,2.85578,356.1044564,181.6982161,3.786223114
alignn_ff,JVASP-861,-0.040566187,15.94706688,155.8271153,2.5146,2.5146,2.5146,18.32750317,22.76509829,31.45624317
matgl,JVASP-861,-0.001598295,23.04552224,281.2967533,2.84829,2.84828,2.84828,60883.07042,31549.808,12683.86595
JARVIS,JVASP-861,0,22.91356381,262.33,2.8403,2.8403,2.8403,493.4,146.8,91
chgnet,JVASP-867,0.000753577,47.244812,178.4911629,3.61712,3.61712,3.61712,191.8504131,164.8670975,53.61711383
mace,JVASP-867,0.000208272,47.657017,184.2397224,3.62621,3.62621,3.62621,171.0630453,130.5213582,70.93251454
alignn_ff,JVASP-867,-0.048779874,35.67912785,146.5531821,3.26892,3.26892,3.26892,-13.1431637,19.84023415,-33.19654297
sevennet,JVASP-867,-2.88E-05,47.19544171,189.7960375,3.61205,3.61205,3.61205,176.1221293,126.7225608,50.49276298
matgl,JVASP-867,0.001488823,47.56215975,185.9780625,3.61763,3.61763,3.61763,31478.9226,24762.49014,9170.887426
JARVIS,JVASP-867,0,47.68248202,141.4,3.62621,3.62621,3.62621,175.8,124.2,72.7
chgnet,JVASP-890,-0.001714837,192.1473655,98.27740586,5.75825,5.75825,5.75825,63.85032922,55.01190208,14.96665179
mace,JVASP-890,-0.000197881,192.3452949,87.63554853,5.77195,5.77195,5.77195,59.42883805,47.41095443,24.85489588
sevennet,JVASP-890,-0.00101865,189.7908787,100.6933411,5.75052,5.75052,5.75052,60.98651433,34.2490455,29.48060127
alignn_ff,JVASP-890,-0.001865143,166.0938167,88.72636922,5.55207,5.55207,5.55207,1.333486497,0.258853287,0.767373292
matgl,JVASP-890,-0.001702075,191.3607182,101.0147443,5.749,5.749,5.749,9653.406404,9055.005181,2467.56862
JARVIS,JVASP-890,0,190.9288465,58.07,5.75825,5.75825,5.75825,100.6,36.8,52
mace,JVASP-895,0.199475895,375.6483669,55.68463758,4.334712,8.09979,12.970438,0.676180707,3.82579735,-3.631474779
matgl,JVASP-895,0.002448336,418.3865765,40.81168925,5,9.06169,9.19536,6691.00923,-4.714588762,1.550045228
sevennet,JVASP-895,-0.00101705,414.8436978,47.47630301,5.53497,9.26974,8.07678,51.48349048,0.038431453,0.09076039
chgnet,JVASP-895,-0.004479093,516.11886,60.81248498,5.27947,9.52551,10.22951,15.90457592,3.026663763,0.457900537
alignn_ff,JVASP-895,-0.005313666,330.5233228,83.15580804,4.71148,7.37509,9.35535,0.967632421,0.067989949,-0.013690482
JARVIS,JVASP-895,3.00E-05,329.8057056,16.31,4.58859,7.38588,9.73143,25.1,4.5,6.2
mace,JVASP-901,-0.00104695,58.62562729,344.2684047,3.88562,3.88562,3.88562,384.3376227,297.0700179,93.69453341
matgl,JVASP-901,-0.000236615,58.34655795,365.1108944,3.88254,3.88255,3.88256,58550.72173,48408.74369,0.132233939
chgnet,JVASP-901,-0.000814686,58.28261042,384.880549,3.87676,3.87676,3.87676,428.7843206,308.4059809,90.27381592
sevennet,JVASP-901,-0.00250539,58.35866347,346.4521382,3.87755,3.87755,3.87755,372.5772651,289.1322104,86.66823772
alignn_ff,JVASP-901,-0.173588927,47.74652514,602.7000285,3.53553,3.53553,3.53553,38.69428586,17.10455852,17.77171467
JARVIS,JVASP-901,0,58.57019073,348.1,3.88352,3.88352,3.88352,577.7,233.3,246.8
sevennet,JVASP-91,0.127939849,45.45900624,918.2451632,3.57092,3.57092,3.57092,649.5830039,267.9355138,359.9869153
mace,JVASP-91,0.137229258,45.62390394,893.1923767,3.57012,3.57012,3.57012,726.7867458,304.8209154,316.7651859
chgnet,JVASP-91,0.11379845,45.48708694,860.5783664,3.57293,3.57293,3.57293,629.7786096,295.9809504,340.6677341
matgl,JVASP-91,0.082919145,45.44648551,939.7808752,3.57673,3.57675,3.57676,73094.63105,43475.20642,53570.54404
alignn_ff,JVASP-91,0.169029366,38.13365873,1358.995164,3.31398,3.31398,3.31398,117.5032003,21.23362334,22.77308327
JARVIS,JVASP-91,0.10166,45.58039871,437.4,3.57212,3.57212,3.57212,1061,125.6,559.3
mace,JVASP-9147,-3.459506633,140.352273,422.1614064,5.153248,5.18838,5.32305,407.2648362,178.4775386,99.50022458
matgl,JVASP-9147,-3.558590247,139.7158185,324.4384272,5.15223,5.20875,5.290741,37638.52525,30513.35001,4938.107998
chgnet,JVASP-9147,-4.016494145,140.4366657,404.35884,5.161332,5.1814,5.318728,358.5955757,176.3030905,90.00454296
sevennet,JVASP-9147,-3.577246875,140.0140084,424.3032225,5.131855,5.20556,5.30584,401.2670701,172.6464346,106.516299
JARVIS,JVASP-9147,-3.80998,138.8451201,209.54,5.11742,5.19276,5.295933,424.7,176.4,140.4
mace,JVASP-919,0.000143225,45.54327791,41.82949302,3.184282,3.184282,5.18173,61.11367217,26.90420515,13.18466301
matgl,JVASP-919,-0.000176735,45.75886636,34.2672806,3.187795,3.187795,5.20549,7571.970078,3239.82788,1605.227517
sevennet,JVASP-919,3.67E-05,45.86450114,41.72528749,3.191339,3.191339,5.19401,50.7899946,28.97959532,10.73365818
chgnet,JVASP-919,-0.0002608,45.67154174,38.9235383,3.19202,3.19202,5.17436,50.4704802,29.60751652,7.628536685
JARVIS,JVASP-919,1.00E-05,45.25442047,36.38,3.178982,3.178982,5.17076,61.8,25.3,18.3
mace,JVASP-931,0.000277489,71.53711034,12.28367753,3.702317,3.702317,6.04415,19.68108392,7.915985868,3.865857457
matgl,JVASP-931,8.24E-05,74.48458311,9.613922358,3.748181,3.748181,6.12147,2156.270027,1006.390369,460.5037777
chgnet,JVASP-931,0.00057736,73.41006396,9.265285029,3.72427,3.72427,6.07889,17.75110911,9.226007834,3.694200234
sevennet,JVASP-931,-4.14E-05,75.33288413,7.167747793,3.74108,3.74108,6.10674,11.05612134,5.021021073,2.641661437
alignn_ff,JVASP-931,0.008661484,72.06106772,6.585587637,3.682721,3.682721,5.94483,10.07158121,5.102972678,0.412701449
JARVIS,JVASP-931,0,72.89935595,7.71,3.722259,3.722259,6.07547,11.7,7.5,2.1
mace,JVASP-934,-0.000436212,36.40466421,170.9862222,3.31321,3.31321,3.31321,206.4764259,128.5948256,29.81307953
matgl,JVASP-934,-0.001140111,36.67758175,183.663366,3.32269,3.32269,3.32269,35216.73745,24583.11074,5345.477958
sevennet,JVASP-934,0.000190965,36.5660225,180.5199153,3.31907,3.31907,3.31907,212.0943856,156.8146815,-1.058533881
chgnet,JVASP-934,-0.003442061,36.85058942,176.2042153,3.33102,3.33102,3.33102,158.7275172,111.923736,3.806770976
alignn_ff,JVASP-934,-0.023275952,31.23303192,250.8623649,3.0804,3.0804,3.0804,-11.59000637,12.86670726,-3.000660547
JARVIS,JVASP-934,0,36.56362412,175.67,3.31907,3.31907,3.31907,245.2,140.9,6.6
mace,JVASP-943,-0.000166561,43.26808155,280.0963258,3.50974,3.50974,3.50974,278.5552663,178.5133928,98.38012223
matgl,JVASP-943,0.000128382,43.09329679,297.8818824,3.50425,3.50425,3.50425,44094.05112,30729.61224,18607.09505
chgnet,JVASP-943,-0.002209345,42.91562095,294.2451744,3.5043,3.5043,3.5043,269.9499115,187.71529,99.83903955
sevennet,JVASP-943,0.001273743,43.13903528,298.7085905,3.50554,3.50554,3.50554,291.4549034,191.1907548,116.1738416
JARVIS,JVASP-943,0,43.3171437,200.43,3.51199,3.51199,3.51199,257.5,171.9,116
mace,JVASP-95,-0.643110819,105.2677019,78.14997176,4.206804,4.206804,6.86759,88.54787737,38.00614481,16.33771975
matgl,JVASP-95,-0.642106949,105.1418067,80.07398914,4.205648,4.205648,6.84908,12467.03108,7993.335978,1871.588214
chgnet,JVASP-95,-0.846422549,104.8864342,75.65062433,4.202974,4.202974,6.86395,86.64685601,41.90947359,13.49827415
sevennet,JVASP-95,-0.638461848,105.2299274,78.51653114,4.205953,4.205953,6.86583,96.60268803,34.31728694,19.89289754
alignn_ff,JVASP-95,-0.605208828,89.12220011,37.14087745,4.013726,4.013726,6.55521,1.598759015,0.926252927,0.308882854
JARVIS,JVASP-95,-0.67015,103.069304,57.03,4.177521,4.177521,6.81964,79.1,49.1,15
mace,JVASP-958,-0.001672566,100.4850804,78.81064262,4.65333,4.65333,4.65333,52.86544773,56.38493594,8.792245071
matgl,JVASP-958,-0.000534821,100.4502811,73.8081434,4.66175,4.66175,4.66175,12474.2046,11728.60438,449.0929945
chgnet,JVASP-958,-0.003776642,99.71554645,97.1301347,4.65046,4.65046,4.65047,51.61829626,76.97734796,3.428310432
sevennet,JVASP-958,-0.007277889,99.44551027,102.9682435,4.65,4.65,4.65,80.78250911,82.58772056,-5.149243491
alignn_ff,JVASP-958,0.013126469,102.0815819,30.13167683,4.63868,4.63868,4.63868,3.246162131,7.782341317,-0.016912279
JARVIS,JVASP-958,0,103.9774857,97.3,4.70233,4.70233,4.70233,108.7,91.6,73.5
mace,JVASP-96,-0.707899553,188.6760601,107.8088424,5.73622,5.73622,5.73622,72.60225633,52.44696531,38.64286857
chgnet,JVASP-96,-0.912751254,189.581588,103.5795832,5.74112,5.74112,5.74112,66.33550852,46.78242952,27.69971786
matgl,JVASP-96,-0.709291439,190.0581759,107.2922913,5.74815,5.74815,5.74815,10493.91701,9874.927956,4574.70963
sevennet,JVASP-96,-0.72213389,189.0860629,105.382263,5.74109,5.74109,5.74109,75.49504957,49.76213022,48.76035782
alignn_ff,JVASP-96,-0.784125433,165.4619798,66.86296849,5.55728,5.55728,5.55728,1.04561343,0.556353495,0.440138995
JARVIS,JVASP-96,-0.71802,186.8392489,59.7,5.71684,5.71684,5.71684,81.7,48.7,37.1
mace,JVASP-963,0.000206497,62.04938534,205.4731683,3.95793,3.95793,3.95793,198.4510694,150.8052437,66.9352938
matgl,JVASP-963,-0.000589979,61.98710618,228.310861,3.96033,3.96033,3.96033,34664.03433,29743.41147,7113.997208
chgnet,JVASP-963,0.000682724,61.77554921,192.6092198,3.95235,3.95235,3.95235,181.0114674,147.886026,47.24379918
sevennet,JVASP-963,0.000128545,61.72731971,199.6517017,3.95522,3.95522,3.95522,192.5133795,150.003174,72.84618051
alignn_ff,JVASP-963,-0.165889618,48.4412715,442.7430555,3.58546,3.58546,3.58546,19.64268741,20.74578562,14.1641698
JARVIS,JVASP-963,0,61.06337661,175.97,3.93786,3.93786,3.93786,208.5,159.7,69.7
mace,JVASP-966,0.00038728,139.7171345,55.45970376,3.667815,3.667815,12.00406,60.09773545,31.18362218,10.14154685
matgl,JVASP-966,0.000979322,139.5347164,39.16905343,3.666592,3.666592,11.97485,6974.486693,4116.327012,1150.585946
chgnet,JVASP-966,-0.0013692,138.1359548,49.3011085,3.662663,3.662663,11.9346,40.49361747,23.50513698,3.374085003
sevennet,JVASP-966,-1.55E-05,138.5413273,42.81740282,3.68135,3.68135,11.81346,31.93896613,32.55983779,1.942579373
alignn_ff,JVASP-966,-0.001693495,138.3939149,44.84973594,3.655483,3.655474,11.16119,5.203725474,5.001626925,1.449527726
JARVIS,JVASP-966,0,133.1803672,37.93,3.627391,3.627391,11.68746,67.7,27,20.3
mace,JVASP-969,-0.00011332,145.0880822,51.9054707,3.714279,3.714279,12.15139,54.33241493,28.35211974,8.566574105
matgl,JVASP-969,-0.000526723,144.6119896,39.79017046,3.708034,3.708034,12.10999,5707.488167,4010.105289,674.660396
chgnet,JVASP-969,-0.000911969,146.016679,43.0676325,3.728006,3.728006,12.15268,40.39151541,24.73938296,4.694689219
sevennet,JVASP-969,0.000524188,146.0645457,42.35211875,3.739624,3.739624,12.06794,34.85780988,30.02805768,3.16205578
alignn_ff,JVASP-969,-0.00276306,144.6842272,46.43494534,3.659142,3.659147,11.61955,8.464486002,9.333956071,0.340981636
JARVIS,JVASP-969,0,141.9208172,33.91,3.706636,3.706636,11.92766,58.7,25.6,16.6
mace,JVASP-972,-0.000739211,62.81746508,284.4665258,3.97677,3.97677,3.97677,261.5073558,208.2198715,44.00197267
matgl,JVASP-972,-0.000845656,62.80894456,272.406013,3.97342,3.97342,3.97342,43378.51781,33926.14794,9639.150079
chgnet,JVASP-972,0.000432345,62.71645656,278.27816,3.97677,3.97677,3.97677,257.7320606,227.8658269,42.54162613
sevennet,JVASP-972,-0.000241321,62.79758554,281.2251737,3.97894,3.97894,3.97894,280.486924,236.9604494,78.5215779
alignn_ff,JVASP-972,0.043738116,48.04513694,660.2054005,3.54672,3.54672,3.54672,57.60997584,10.70104129,34.27603941
JARVIS,JVASP-972,0,62.89142306,251.6,3.97677,3.97677,3.97677,307.4,223.7,65.8
mace,JVASP-981,0.000860011,30.11251289,371.0908617,2.789605,2.789605,4.46083,413.0314294,347.553285,17.36657454
matgl,JVASP-981,0.000326545,30.14376987,381.2934169,2.7818,2.7818,4.48487,65411.4892,52015.24054,5940.718273
chgnet,JVASP-981,-0.001867262,30.15098322,368.3434236,2.785564,2.785564,4.48398,410.1757369,342.4125415,2.76291571
sevennet,JVASP-981,-0.001708502,30.15112807,389.5156392,2.79055,2.79055,4.47454,414.5055049,334.8700951,36.34582785
alignn_ff,JVASP-981,-1.72203482,64.74937367,214.5134576,2.481924,2.481924,4.11403,56.88400828,4.327551521,9.845842238
JARVIS,JVASP-981,1.00E-05,30.201716,363.87,2.787248,2.787248,4.48901,593.3,265.7,163.8
mace,JVASP-984,-0.000636756,57.08376321,283.8717689,3.85084,3.85084,3.85084,300.348795,217.6971539,72.03414685
matgl,JVASP-984,0.001366572,57.43492592,314.8818865,3.8537,3.8537,3.8537,50491.49608,40099.33355,13873.76281
chgnet,JVASP-984,-0.00164292,57.06696161,295.2467487,3.848,3.848,3.848,268.5447802,201.1012424,78.91675391
sevennet,JVASP-984,0.000512043,57.32519219,291.2578439,3.84923,3.84923,3.84923,300.4306425,228.5609359,90.68528405
alignn_ff,JVASP-984,-0.10206317,40.21547405,256.3608354,3.37065,3.37066,3.37066,20.01031874,11.25326298,7.645191066
JARVIS,JVASP-984,0,56.27919794,260.7,3.83221,3.83221,3.83221,414.3,183.9,181.9
mace,JVASP-993,0.00145098,182.3693316,71.66080976,4.407552,4.407552,10.81395,67.79136286,29.65856181,41.3614838
matgl,JVASP-993,-0.000513208,191.6702874,108.0812469,4.436776,4.436776,11.13533,10800.17109,8323.232438,1534.243889
chgnet,JVASP-993,0.000587324,187.6801444,87.87324971,4.526528,4.526528,10.5512,69.48852327,56.95747316,8.557848959
sevennet,JVASP-993,0.002167776,192.9621813,116.2019689,4.376742,4.376742,11.55267,79.47279416,39.87937464,43.69768457
alignn_ff,JVASP-993,0.005649965,187.6125564,100.2585924,4.342585,4.342585,11.5247,2.541515145,1.939153493,0.590523687
JARVIS,JVASP-993,0,192.4886368,38.57,4.379846,4.379846,11.58663,85.1,26.4,29.4
